date,midday_temp,weather_category,wind_speed
2023-11-01,26.6,clouds,7.7
2023-11-02,25.2,clear,4.6
2023-11-11,24.9,rain,1.8
2023-11-12,28.1,clouds,5.1
2023-11-13,30.6,clear,1.8
2023-11-14,27.1,clouds,4.6
2023-11-15,33.2,clouds,1.8
2023-11-16,34.4,clouds,1.3
2023-11-18,26.0,clouds,5.7
2023-11-19,26.8,clouds,7.7
2023-11-20,21.4,rain,6.7
2023-11-22,25.4,rain,7.2
2023-11-23,26.1,clouds,5.1
2023-11-24,26.5,clouds,5.1
2023-11-25,23.6,rain,4.1
2023-11-26,27.4,clear,6.2
2023-11-27,30.1,clouds,6.2
2023-11-28,23.7,rain,2.0
2023-11-29,28.3,rain,1.8
2023-11-30,31.9,clear,4.6
2023-12-01,34.4,clouds,1.3
2023-12-02,31.1,clouds,2.2
2023-12-03,33.5,clouds,2.2
2023-12-07,31.6,clear,1.8
2023-12-08,30.4,clear,1.3
2023-12-09,28.9,clouds,1.8
2023-12-10,29.4,clouds,6.7
2023-12-11,28.3,clouds,5.7
2023-12-12,29.3,clouds,2.2
2023-12-13,30.2,clouds,5.7
2023-12-14,32.7,clear,1.8
2023-12-15,33.8,clouds,1.8
2023-12-16,33.1,clear,1.3
2023-12-17,34.1,clouds,7.7
2023-12-18,31.6,rain,7.2
2023-12-19,30.7,clouds,5.1
2023-12-20,31.1,rain,7.2
2023-12-21,27.1,rain,2.1
2023-12-22,25.0,rain,4.6
2023-12-23,28.8,clouds,2.2
2023-12-24,25.6,rain,0.9
2023-12-28,35.1,clear,2.7
2023-12-29,36.5,clear,2.7
2023-12-30,24.5,clouds,4.6
2024-01-03,28.7,rain,4.1
2024-01-06,26.1,clouds,4.9
2024-01-07,28.0,rain,5.1
2024-01-08,26.2,rain,3.6
2024-01-09,27.9,rain,4.1
2024-01-10,30.9,rain,5.1
2024-01-11,27.0,rain,3.6
2024-01-13,28.5,clouds,5.7
2024-01-14,31.4,clouds,5.7
2024-01-16,24.2,rain,3.6
2024-01-17,28.4,clouds,3.6
2024-01-18,31.9,clouds,5.7
2024-01-19,32.4,clouds,1.3
2024-01-20,30.4,clouds,4.6
2024-01-21,32.1,clouds,4.1
2024-01-22,36.5,clouds,2.2
2024-01-23,26.7,clouds,5.1
2024-01-24,27.9,clouds,4.6
2024-01-25,31.7,clouds,2.2
2024-01-26,28.9,rain,4.1
2024-01-27,35.5,clouds,1.3
2024-01-28,25.5,rain,0.5
2024-01-29,29.4,rain,4.6
2024-01-30,26.9,rain,5.7
2024-01-31,28.9,clouds,5.1
2024-02-01,29.4,clouds,5.7
2024-02-02,32.4,clear,0.9
2024-02-03,31.1,clouds,4.1
2024-02-04,30.5,rain,4.1
2024-02-05,31.4,clouds,4.6
2024-02-06,32.0,clouds,5.1
2024-02-07,28.6,rain,6.2
2024-02-08,28.6,rain,5.1
2024-02-09,24.6,rain,4.6
2024-02-10,24.6,clouds,2.2
2024-02-11,29.3,clouds,5.7
2024-02-12,26.4,rain,5.7
2024-02-13,27.0,clouds,4.1
2024-02-15,28,clouds,1.8
2024-02-16,21.2,rain,2.6
2024-02-17,28.9,clouds,4.1
2024-02-18,29.0,clouds,4.1
2024-02-19,28.2,clouds,3.6
2024-02-20,29.1,clouds,3.1
2024-02-22,31.4,clouds,1.3
2024-02-23,34.6,clear,0.5
2024-02-24,28.7,clouds,3.5
2024-02-25,26.8,clouds,3.1
2024-02-26,31.6,clouds,3.6
2024-02-27,29.3,clouds,4.1
2024-02-28,29.9,rain,4.6
2024-02-29,31.3,clouds,5.1
2024-03-01,30.3,clouds,4.6
2024-03-02,31.8,clouds,2.2
2024-03-03,28.5,rain,2.6
2024-03-04,30.8,rain,5.7
2024-03-05,23.7,rain,3.6
2024-03-06,28.4,clouds,5.7
2024-03-07,28.7,rain,5.7
2024-03-08,28.3,rain,6.7
2024-03-09,28.3,clouds,6.7
2024-03-10,26.6,rain,7.7
2024-03-11,24.8,clouds,4.1
2024-03-12,28.7,clouds,5.7
2024-03-13,28.4,clouds,5.7
2024-03-14,27.5,clouds,4.1
2024-03-15,28.4,rain,5.1
2024-03-16,27.3,clouds,4.6
2024-03-17,26.2,clouds,4.6
2024-03-19,27.2,rain,4.1
2024-03-20,28.9,clouds,4.1
2024-03-21,25.0,rain,7.2
2024-03-23,24.7,clouds,4.6
2024-03-24,20.5,rain,3.1
2024-03-25,21.0,rain,2.6
2024-03-26,22.2,rain,3.6
2024-03-27,22.8,rain,4.1
2024-03-29,26.7,rain,4.1
2024-03-30,26.5,rain,4.1
2024-03-31,24.7,clouds,3.1
2024-04-01,25.1,rain,4.6
2024-04-02,27.1,clouds,5.1
2024-04-03,30.5,clouds,1.3
2024-04-05,23.1,drizzle,1.5
2024-04-06,27.6,clouds,1.8
2024-04-07,27,rain,3.6
2024-04-09,27.4,clouds,3.6
2024-04-10,24.0,clear,5.7
2024-04-11,25.9,clouds,3.1
2024-04-12,25.9,clouds,4.1
2024-04-13,26.8,clouds,3.1
2024-04-14,26.5,clouds,3.1
2024-04-17,26.6,clouds,4.6
2024-04-18,25.2,rain,1.3
2024-04-19,27.0,clouds,3.6
2024-04-20,23.7,rain,3.1
2024-04-21,19.8,rain,3.6
2024-04-23,22.3,rain,3.1
2024-04-24,25.6,clouds,2.1
2024-04-25,26.5,rain,4.1
2024-04-26,22.9,rain,5.1
2024-04-27,23.6,rain,5.1
2024-04-28,23.9,clouds,5.1
2024-04-29,24.5,clouds,4.1
2024-05-01,24.4,clouds,5.1
2024-05-03,22.4,rain,3.6
2024-05-04,22.4,rain,2.6
2024-05-05,23.9,clouds,2.2
2024-05-06,24.4,clouds,3.6
2024-05-07,21.2,rain,3.6
2024-05-08,21.9,clouds,5.7
2024-05-09,23.4,clouds,5.1
2024-05-10,23.8,rain,4.5
2024-05-11,23.9,rain,2.6
2024-05-12,21.8,clouds,2.1
2024-05-13,22.2,clear,4.6
2024-05-14,24.5,clouds,3.6
2024-05-15,24.2,rain,4.1
2024-05-16,19.2,rain,4.1
2024-05-18,23.8,clouds,3.6
2024-05-20,21,clear,4.6
2024-05-21,20.9,clear,3.1
2024-05-25,18.2,clouds,5.1
2024-05-26,22.6,clouds,3.6
2024-05-27,22.8,clouds,3.1
2024-05-28,19.9,clouds,2.1
2024-05-30,21.8,clouds,3.1
2024-05-31,24.0,rain,3.1
2024-06-01,20.9,rain,5.1
2024-06-02,20.2,clouds,4.1
2024-06-03,18.9,clouds,6.7
2024-06-04,19.3,clear,2.6
2024-06-08,18.8,clouds,7.7
2024-06-09,20.9,clear,5.7
2024-06-10,20.4,rain,4.6
2024-06-11,20.4,clear,4.6
2024-06-12,21.6,clear,7.7
2024-06-13,19.6,clear,4.1
2024-06-14,20.6,clear,4.1
2024-06-15,20.2,clear,3.6
2024-06-16,18.6,clear,6.2
2024-06-17,18.1,clear,9.8
2024-06-18,18.8,clear,4.1
2024-06-19,19.0,clear,4.1
2024-06-20,19.7,clear,2.6
2024-06-21,22.6,clouds,0.5
2024-06-22,16.2,clear,6.2
2024-06-23,18.6,clouds,7.2
2024-06-24,20.0,clouds,2.6
2024-06-26,22.7,clouds,3.1
2024-06-27,22.8,clouds,3.1
2024-06-28,23.1,rain,4.6
2024-06-29,21.9,clouds,3.6
2024-06-30,25.0,clouds,6.2
2024-07-01,19.4,rain,2.6
2024-07-04,19.4,clouds,5.7
2024-07-05,20.5,clouds,5.7
2024-07-06,20.5,rain,5.1
2024-07-07,19.8,rain,5.1
2024-07-09,19.4,clouds,1.0
2024-07-10,21.5,clouds,4.1
2024-07-11,21.9,clouds,4.1
2024-07-12,22.1,clouds,3.6
2024-07-13,18.9,clouds,9.3
2024-07-15,17.2,clouds,6.7
2024-07-16,16.9,clear,10.8
2024-07-17,15.0,clouds,8.8
2024-07-18,17.1,clouds,8.2
2024-07-19,18.4,clear,4.6
2024-07-20,21.3,clear,9.8
2024-07-21,18.2,clear,8.8
2024-07-22,19.4,clear,3.1
2024-07-26,23.2,clouds,4.1
2024-07-27,22.8,clouds,3.6
2024-07-28,19.3,clouds,7.7
2024-07-30,18.6,clear,4.6
2024-08-02,19.4,clouds,4.1
2024-08-03,20.9,clouds,3.6
2024-08-04,20.9,clouds,4.1
2024-08-05,20.4,rain,2.6
2024-08-06,20.8,clouds,4.1
2024-08-07,21.1,clouds,4.6
2024-08-08,16.6,rain,3.6
2024-08-09,19.9,clouds,0.9
2024-08-10,22.5,clouds,4.6
2024-08-11,22.7,clouds,5.1
2024-08-12,19.5,rain,8.2
2024-08-13,18.7,rain,5.1
2024-08-14,18.5,rain,2.6
2024-08-15,23.2,clouds,2.6
2024-08-16,25.4,clouds,4.1
2024-08-17,28.4,clouds,5.1
2024-08-18,22.6,clear,7.2
2024-08-19,23.0,clouds,1.8
2024-08-20,20.8,rain,3.6
2024-08-21,25.2,clouds,2.2
2024-08-22,26.1,clear,1.8
2024-08-23,25.0,clouds,2.7
2024-08-24,24.3,clouds,3.6
2024-08-25,27.1,clear,0.9
2024-08-26,28.7,clear,1.8
2024-08-27,27.5,clouds,0.9
2024-08-28,29.2,clear,1.3
2024-08-29,31.9,clear,2.7
2024-08-30,30.4,clear,1.3
2024-08-31,34.1,clear,3.1
2024-09-01,32.4,clear,1.8
2024-09-02,31.3,clear,3.6
2024-09-03,24.7,clear,1.8
2024-09-04,21.2,clouds,5.1
2024-09-05,22.3,clouds,3.6
2024-09-06,24.7,clear,2.7
2024-09-07,27.4,clear,2.2
2024-09-08,27.9,clear,1.8
2024-09-09,29.1,clouds,1.8
2024-09-10,26.0,rain,4.6
2024-09-11,23.9,rain,3.6
2024-09-12,26.7,clouds,2.7
2024-09-13,20.9,clouds,3.1
2024-09-14,22.0,clouds,4.6
2024-09-15,24.7,clouds,4.1
2024-09-16,22.1,clear,4.6
2024-09-17,23.5,clouds,1.8
2024-09-18,24.4,clouds,5.1
2024-09-19,27.7,clouds,2.7
2024-09-20,29.5,clear,1.3
2024-09-21,27.8,clear,2.7
2024-09-22,25.5,clouds,4.6
2024-09-23,27.6,clouds,1.8
2024-09-24,26.7,clear,5.7
2024-09-25,26.5,clear,1.3
2024-09-26,27.5,clouds,0.5
2024-09-27,21.6,clouds,3.1
2024-09-28,16.6,rain,7.8
2024-09-29,26.2,rain,5.7
2024-09-30,28.4,clouds,1.3
2024-10-01,25.4,clouds,5.1
2024-10-02,23.1,clouds,5.7
2024-10-03,22.9,clouds,6.7
2024-10-04,24.3,clouds,5.1
2024-10-05,29.4,clear,2.7
2024-10-06,32.7,clouds,1.8
2024-10-07,32.5,clear,1.3
2024-10-08,31.5,clouds,1.8
2024-10-09,23.4,rain,5.7
2024-10-10,18.2,rain,1.8
2024-10-11,24.3,clouds,4.6
2024-10-12,27.2,clear,1.8
2024-10-13,19.8,rain,3.1
2024-10-14,23.0,clouds,5.1
2024-10-15,25.7,clouds,4.6
2024-10-16,23.6,rain,5.1
2024-10-17,27.5,clouds,1.8
2024-10-18,27.0,clouds,8.2
2024-10-19,32.6,clouds,1.3
2024-10-20,25.9,clouds,2.2
2024-10-21,26.5,clouds,4.1
2024-10-22,27.1,clouds,4.6
2024-10-23,28.6,clouds,1.3
2024-10-24,33.0,clouds,0.5
2024-10-25,29.6,clear,5.7
2024-10-26,24.7,clouds,5.1
2024-10-27,26.7,clouds,2.2
2024-10-28,21.8,rain,3.1
2024-10-29,28.8,clouds,1.3
2024-10-30,26.2,rain,5.7
2024-10-31,31.0,clouds,2.2
2024-11-01,30.8,clouds,1.3
2024-11-02,27.2,clouds,2.7
2024-11-03,28.0,clouds,5.7
2024-11-04,31.2,clouds,2.2
2024-11-05,33.5,clear,2.7
2024-11-06,31.0,clouds,1.8
2024-11-07,33.3,clouds,3.1
2024-11-08,31.4,clouds,0.9
2024-11-09,31.3,clouds,5.7
2024-11-10,28.6,rain,4.6
2024-11-11,30.3,clouds,0.9
2024-11-12,26.5,clouds,3.1
2024-11-13,30.0,clouds,1.8
2024-11-14,32.0,clear,1.8
2024-11-15,28.2,rain,5.1
2024-11-16,22.1,rain,5.1
2024-11-17,27.9,clouds,5.1
2024-11-18,29.1,clouds,1.3
2024-11-19,21.8,rain,2.1
2024-11-20,20.4,rain,2.7
2024-11-21,22.6,rain,5.1
2024-11-22,21.3,rain,3.6
2024-11-23,25.4,clouds,5.1
2024-11-24,27.1,clouds,4.1
2024-11-25,27.5,clouds,4.6
2024-11-26,28.9,rain,6.2
2024-11-27,28.4,rain,5.7
2024-11-28,29.1,clouds,3.6
2024-11-29,26.9,clouds,1.8
2024-11-30,24.6,rain,1.8
2024-12-01,26.2,rain,7.7
2024-12-02,30.6,clouds,5.7
2024-12-03,29.9,clouds,6.7
2024-12-04,29.3,rain,5.1
2024-12-05,30.1,rain,5.1
2024-12-06,30.7,clouds,1.8
2024-12-07,31.4,clouds,1.8
2024-12-08,34.8,clouds,1.8
2024-12-09,29.8,rain,4.1
2024-12-10,28.8,rain,5.1
2024-12-11,23.9,clouds,3.6
2024-12-12,29.8,clouds,4.1
2024-12-13,30.7,clouds,1.8
2024-12-14,26.6,rain,3.1
2024-12-15,28.9,rain,5.1
2024-12-16,26.9,rain,7.2
2024-12-17,30.0,clouds,4.6
2024-12-18,27.3,rain,2.1
2024-12-19,25.8,clear,4.5
2024-12-20,28.2,clouds,4.1
2024-12-21,30.9,clouds,0.9
2024-12-22,30.7,clear,1.3
2024-12-23,32.2,clouds,0.9
2024-12-24,31.7,clouds,3.1
2024-12-25,29.3,clouds,2.2
2024-12-26,29.6,clear,1.8
2024-12-27,31.4,clear,1.3
2024-12-28,34.3,clouds,1.8
2024-12-29,30.0,rain,5.1
2024-12-30,29.3,clouds,5.7
2024-12-31,27.8,rain,5.7
2025-01-01,28.4,clouds,5.1
2025-01-02,25.6,rain,3.1
2025-01-03,27.3,rain,10.8
2025-01-04,27.7,rain,5.7
2025-01-06,28.3,clouds,5.1
2025-01-07,29.3,clouds,5.7
2025-01-08,28.3,clouds,5.7
2025-01-10,28.1,rain,5.7
2025-01-11,22.2,rain,5.7
2025-01-12,24.5,fog,4.6
2025-01-13,27.9,fog,3.6
2025-01-16,34.8,clouds,5.1
2025-01-17,29.2,clouds,4.0
2025-01-18,29,rain,3.6
2025-01-19,28.1,clouds,7.2
2025-01-20,27.6,clouds,5.7
2025-01-21,29.9,clouds,2.6
2025-01-22,34.2,clouds,4.1
2025-01-24,31.4,clouds,5.1
2025-01-25,27.9,clouds,7.7
2025-01-26,28.8,clouds,3.6
2025-01-27,27.7,rain,4.6
2025-01-28,30.6,clouds,4.6
2025-01-29,31,clouds,4.6
2025-01-31,30.5,clouds,4.6
2025-02-01,29.9,rain,7.2
2025-02-02,28.5,clouds,7.7
2025-02-03,29.1,clouds,6.7
2025-02-04,29.0,clouds,5.7
2025-02-05,27.2,clouds,4.1
2025-02-06,25.9,clouds,3.6
2025-02-08,28.4,clouds,6.2
2025-02-09,29.8,rain,4.6
2025-02-10,29.4,clouds,3.6
2025-02-11,29.9,rain,4.1
2025-02-12,30.4,clouds,4.6
2025-02-13,29.1,clouds,6.2
2025-02-14,28.4,clouds,5.7
2025-02-15,30.2,clouds,4.1
2025-02-16,31.9,clouds,5.7
2025-02-17,26.8,clouds,4.6
2025-02-18,27.5,rain,5.1
2025-02-19,27.3,rain,4.6
2025-02-20,28.8,clouds,5.7
2025-02-21,28.5,clouds,9.3
2025-02-22,29.0,clouds,8.2
2025-02-23,28.8,clouds,6.7
2025-02-24,29.8,rain,5.7
2025-02-25,30.2,clouds,6.7
2025-02-26,29.1,clouds,8.2
2025-02-27,28.4,clouds,6.2
2025-02-28,29.2,clouds,6.2
2025-03-01,28.9,clouds,7.7
2025-03-02,30.4,clouds,6.7
2025-03-03,28.5,clouds,7.7
2025-03-04,28.7,clouds,6.2
2025-03-05,28.7,rain,11.3
2025-03-06,27.6,clouds,8.9
2025-03-10,23.2,rain,4.1
2025-03-11,27.4,clouds,5.7
2025-03-12,25.9,rain,4.6
2025-03-13,27.7,clouds,5.1
2025-03-14,27.9,clouds,5.1
2025-03-15,27.6,clouds,4.1
2025-03-16,28.5,clouds,4.1
2025-03-17,30.8,clouds,4.1
2025-03-18,26.6,clouds,6.7
2025-03-19,25.9,clouds,6.2
2025-03-20,26,rain,4.6
2025-03-21,28.7,rain,4.1
2025-03-22,29.3,clouds,3.1
2025-03-23,28.1,fog,2.1
2025-03-24,27.4,rain,5.1
2025-03-28,23.2,rain,4.6
2025-03-29,22.6,rain,6.7
2025-03-30,29.4,clouds,5.1
2025-03-31,29.9,clouds,4.1
2025-04-01,25.8,rain,5.1
2025-04-02,21.7,fog,3.6
2025-04-03,25.4,rain,3.1
2025-04-04,25.2,rain,4.6
2025-04-05,28.2,clouds,4.6
2025-04-06,27.1,clouds,4.1
2025-04-07,27.8,clouds,5.7
2025-04-08,25.6,clouds,5.1
2025-04-09,25.9,clouds,4.6
2025-04-10,25.8,rain,5.1
2025-04-11,27.3,clouds,5.1
2025-04-12,24.6,rain,6.2
2025-04-13,25.3,rain,7.2
2025-04-14,25.1,rain,6.2
2025-04-15,23.9,rain,6.7
2025-04-16,24.4,clouds,5.7
2025-04-17,26.1,clouds,3.6
2025-04-18,26.5,clouds,4.1
2025-04-19,27.2,clouds,4.6
2025-04-20,27.6,clouds,3.6
2025-04-21,28,clouds,5.7
2025-04-22,24.7,clear,5.7
2025-04-23,25.2,clouds,4.6
2025-04-24,21.3,rain,6.2
2025-04-25,22.7,rain,4.1
2025-04-26,26.4,rain,3.1
2025-04-27,26.9,clear,5.7
2025-04-28,25.6,clouds,4.1
2025-04-30,25.8,clouds,4.1
2025-05-01,23.7,clouds,3.1
2025-05-02,22.2,clouds,4.1
2025-05-03,23.4,clouds,5.7
2025-05-04,23.5,rain,4.6
2025-05-05,23.5,clouds,5.7
2025-05-06,24.0,rain,5.1
2025-05-07,24.1,clouds,3.6
2025-05-08,24.9,clear,3.6
2025-05-09,22.2,clouds,6.7
2025-05-10,20.3,rain,3.6
2025-05-11,20.1,rain,5.7
2025-05-12,20.9,rain,3.1
2025-05-13,23.8,clouds,2.2
2025-05-14,22.8,rain,2.7
2025-05-15,21.7,clouds,1.8
2025-05-16,22.3,rain,1.3
2025-05-17,23.4,rain,0.9
2025-05-18,24.4,clouds,1.8
2025-05-19,21.1,clouds,4.1
2025-05-20,22.5,clouds,1.3
2025-05-21,25.0,clouds,3.1
2025-05-22,24.6,clouds,7.2
2025-05-23,23.4,clouds,4.1
2025-05-24,24.1,clear,3.1
2025-05-25,25.6,clear,3.6
2025-05-26,25.9,clear,2.6
2025-05-27,27,clouds,6.7
2025-05-28,21.1,clear,3.6
2025-05-29,21.0,clouds,3.1
2025-05-30,17.4,drizzle,3.6
2025-05-31,18.8,rain,6.2
2025-06-01,21.5,rain,5.4
2025-06-02,21.9,clouds,4.1
2025-06-03,22.9,clouds,6.7
2025-06-04,20.6,clouds,9.8
2025-06-05,19.4,clear,5.7
2025-06-06,21.3,clear,3.1
2025-06-07,22.4,clouds,5.7
2025-06-08,20.6,clear,8.2
2025-06-09,17.5,clouds,9.8
2025-06-10,17.4,clear,6.7
2025-06-11,17.5,clear,7.7
2025-06-12,17.8,clouds,6.2
2025-06-13,17.0,clear,8.2
2025-06-14,18.0,clear,4.6
2025-06-15,19.9,clouds,4.6
2025-06-16,19.6,clear,4.1
2025-06-17,18.1,clouds,0.5
2025-06-18,19.7,rain,3.1
2025-06-19,21.3,clouds,3.6
2025-06-20,20.0,clear,4.1
2025-06-21,18.4,rain,2.6
2025-06-22,20.7,rain,4.1
2025-06-23,19.5,rain,2.1
2025-06-24,22.3,clouds,3.1
2025-06-25,20.6,clear,9.3
2025-06-26,18.8,clear,4.6
2025-06-27,19.0,clouds,4.1
2025-06-28,18.9,clouds,3.6
2025-06-29,18.3,clouds,4.1
2025-06-30,15.5,rain,3.1
2025-07-01,18.1,clouds,6.7
2025-07-02,15.8,clouds,9.8
2025-07-03,18.4,clear,7.7
2025-07-04,19.3,clear,3.6
2025-07-05,20.4,clouds,2.6
2025-07-06,22.5,clouds,3.1
2025-07-07,20.9,clear,4.9
2025-07-08,20.4,clear,3.6
2025-07-09,19.5,clouds,2.1
2025-07-10,22.1,clear,8.8
2023-11-21,24.9,rain,5.1
2023-12-04,31.3,clouds,5.1
2023-12-05,30.4,clouds,1.8
2023-12-06,33.0,clear,2.7
2023-12-25,32.4,clouds,6.7
2023-12-26,31.2,rain,5.7
2023-12-27,31.6,clouds,0.9
2023-12-31,29.8,rain,1.8
2024-01-01,21.4,fog,5.1
2024-01-02,22.2,fog,4.6
2024-01-04,30.2,clouds,5.1
2024-01-05,28.7,rain,5.1
2024-01-12,26.7,rain,5.6
2024-01-15,24.9,rain,3.6
2024-02-14,29.5,rain,4.6
2024-02-21,30.6,clouds,3.6
2024-03-18,27.8,clouds,2.6
2024-03-22,24.9,clouds,5.1
2024-03-28,27.1,clouds,5.1
2024-04-04,26.5,rain,5.1
2024-04-08,28.5,clouds,4.1
2024-04-15,26.9,clouds,3.1
2024-04-16,26.4,clouds,3.6
2024-04-22,24.4,rain,6.7
2024-04-30,25.7,clouds,3.6
2024-05-02,22.2,rain,5.1
2024-05-17,21.6,clouds,2.2
2024-05-19,21.2,clouds,7.7
2024-05-22,19.6,clouds,3.6
2024-05-23,22.1,clouds,3.6
2024-05-24,22.2,clouds,3.1
2024-05-29,22.8,clouds,4.6
2024-06-05,19.4,clear,3.1
2024-06-06,20.7,clouds,4.1
2024-06-07,18.1,clear,4.5
2024-06-25,19.8,clouds,1.3
2024-07-02,15.2,rain,3.1
2024-07-03,15.6,rain,5.1
2024-07-08,18.3,clouds,0.9
2024-07-14,17.6,clear,5.7
2024-07-23,19.7,clear,3.1
2024-07-24,21.5,clouds,3.6
2024-07-25,21.7,clouds,4.1
2024-07-29,17.2,clear,7.2
2024-07-31,19.3,clear,4.1
2024-08-01,19.8,clear,5.7
2025-01-05,27.2,clouds,5.1
2025-01-09,24.9,rain,3.6
2025-01-14,30.4,clouds,4.1
2025-01-15,31.2,clouds,5.7
2025-01-23,29.2,clear,6.2
2025-01-30,30.3,clouds,5.7
2025-02-07,29.3,rain,3.6
2025-03-07,24.8,fog,9.8
2025-03-08,23.7,fog,8.2
2025-03-09,22.2,fog,10.8
2025-03-25,24.1,rain,5.1
2025-03-26,25.2,rain,5.4
2025-03-27,24.7,fog,4.1
2025-04-29,26.3,clouds,3.6
2023-11-17,32.2,rain,5.7
2025-07-11,18.4,clear,5.7
2025-07-12,19.2,clear,4.6
